Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
19/104,2019-09-10,11,12,13,28,43,49,47,"12,43",,4,2,0,3,1,0,2,0.50,81486160,7.00,1023150,293.50,65070,774.50,9600,14966.50,640,17831.50,320,274788.10,40,159593779
19/103,2019-09-07,7,8,12,25,43,45,13,,7,4,2,2,1,1,0,2,0.00,0,3.00,411060,58.50,56210,245.00,9600,3992.70,640,5865.60,320,71088.50,40,34559909
19/102,2019-09-05,3,4,18,29,41,44,39,,,3,3,2,1,1,0,2,1.00,38053270,1.00,2836580,75.00,100850,175.00,9600,4278.00,640,5045.20,320,84613.80,40,55921774
19/101,2019-09-03,2,8,17,24,27,39,10,24,,3,3,2,1,2,1,0,0.00,0,0.50,2352780,74.50,84210,255.90,9600,4665.40,640,7528.90,320,90472.30,40,53161464
19/100,2019-08-31,1,6,14,24,32,44,5,"24,44",,1,5,2,1,1,1,1,0.00,0,2.00,1016770,73.00,74280,168.00,9600,4181.80,640,5823.00,320,72398.90,40,44345050
19/099,2019-08-29,8,24,26,37,38,44,18,,,1,5,1,0,2,2,1,0.00,0,0.00,0,81.50,58960,198.50,9600,3878.00,640,5693.70,320,68840.30,40,41045851
19/098,2019-08-27,6,18,29,33,43,46,16,,,3,3,1,1,1,1,2,0.00,0,3.50,489370,64.00,71360,176.00,9600,3153.50,640,5493.80,320,58210.40,40,37671120
19/097,2019-08-24,1,10,21,31,47,49,13,1,,5,1,2,0,1,1,2,1.00,17193110,0.50,1835580,83.50,58620,179.00,9600,4662.00,640,5162.20,320,72625.20,40,42049085
19/096,2019-08-22,1,4,5,6,42,43,8,,,3,3,4,0,0,0,2,0.00,0,7.50,163830,85.00,38550,495.70,9600,6098.50,640,10603.40,320,72931.90,40,41676385
19/095,2019-08-20,12,15,16,23,32,35,2,32,,3,3,0,3,1,2,0,0.00,0,2.00,878660,79.00,59310,156.50,9600,3394.70,640,5091.20,320,61888.40,40,38247961
19/094,2019-08-17,4,9,20,26,32,44,11,,,1,5,2,1,1,1,1,1.00,20469990,0.70,2007260,73.00,73320,188.00,9600,4105.50,640,6417.10,320,72364.30,40,44602900
19/093,2019-08-15,2,13,23,35,38,46,17,,,3,3,1,1,1,2,1,0.50,28896420,3.50,646580,142.00,42490,302.50,9600,5754.00,640,6946.00,320,88393.70,40,53563246
19/092,2019-08-13,10,14,16,29,30,43,11,,,2,4,1,2,2,0,1,0.50,44214550,5.00,566000,145.50,51860,392.50,9600,6548.60,640,10029.90,320,109309.60,40,67173592
19/091,2019-08-10,15,22,42,44,48,49,6,44,,2,4,0,1,1,0,4,0.00,0,0.00,0,64.00,111510,176.00,9600,4174.50,640,5554.50,320,73886.00,40,53151958
19/090,2019-08-08,8,9,19,25,30,44,37,,8,3,3,2,1,2,0,1,0.00,0,2.50,798030,157.00,33880,205.50,9600,6756.30,640,5671.60,320,110628.60,40,50283064
19/089,2019-08-06,5,6,15,21,22,37,36,37,6,4,2,2,1,2,1,0,0.00,0,2.00,1072770,79.00,72420,171.00,9600,4075.80,640,5598.90,320,74627.80,40,45824552
19/088,2019-08-03,23,24,27,28,37,43,16,43,,4,2,0,0,4,1,1,0.00,0,1.00,1991680,49.50,107290,130.50,9600,3279.50,640,4063.20,320,60840.10,40,40141822
19/087,2019-08-01,13,18,20,21,43,49,30,,,4,2,0,3,1,0,2,0.50,13243290,4.50,388390,62.00,75170,167.50,9600,3224.00,640,4379.80,320,58670.30,40,37451568
19/086,2019-07-30,3,16,19,22,41,44,29,19,,3,3,1,2,1,0,2,0.00,0,1.00,2033230,34.50,157150,102.00,9600,2517.20,640,3302.40,320,48883.60,40,37958977
19/085,2019-07-27,4,14,19,24,39,45,8,,,3,3,1,2,1,1,1,1.00,48857920,3.00,1077060,95.00,90700,295.50,9600,5877.10,640,8753.20,320,103523.50,40,68910770
19/084,2019-07-25,7,10,11,16,18,35,43,,,3,3,2,3,0,1,0,0.50,78328720,5.50,1110830,281.00,57970,531.00,9600,14976.00,640,15569.00,320,270405.60,40,139332117
19/083,2019-07-23,14,19,25,38,39,42,46,,,3,3,0,2,1,2,1,0.00,0,0.00,0,63.50,93730,136.50,9600,3318.80,640,4865.00,320,63655.90,40,44240595
19/082,2019-07-20,26,27,30,33,44,47,37,,,3,3,0,0,3,1,2,0.00,0,0.00,0,37.50,118910,140.00,9600,2392.00,640,3620.00,320,47017.10,40,33637960
19/081,2019-07-18,2,4,8,11,17,31,19,,,3,3,3,2,0,1,0,1.50,23564150,6.50,284230,183.00,26920,423.20,9600,7545.20,640,10065.50,320,118925.60,40,56304815
19/080,2019-07-16,6,16,22,28,37,45,13,,16,2,4,1,1,2,1,1,0.00,0,1.50,1721370,102.50,67170,254.50,9600,4421.60,640,6583.30,320,84187.60,40,54932189
19/079,2019-07-13,12,14,32,35,38,46,16,32,,1,5,0,2,0,3,1,0.00,0,4.00,592710,55.00,114950,160.50,9600,3251.00,640,4744.90,320,62495.00,40,46311996
19/078,2019-07-11,3,6,26,27,32,49,29,3,,3,3,2,0,2,1,1,0.00,0,1.00,1983270,68.20,77540,152.50,9600,3760.80,640,5199.20,320,74055.30,40,42641377
19/077,2019-07-09,3,5,20,31,39,42,25,42,,4,2,2,1,0,2,1,0.00,0,0.50,1990230,39.50,134360,139.50,9600,2698.00,640,4239.60,320,54932.70,40,39259991
19/076,2019-07-06,7,8,10,11,28,42,29,,,2,4,3,1,1,0,1,1.00,11600520,10.00,120010,149.00,21470,363.90,9600,7329.10,640,7729.60,320,106097.70,40,40705997
19/075,2019-07-04,1,2,12,15,24,44,14,15,,2,4,2,2,1,0,1,0.00,0,3.50,403860,76.50,49270,191.00,9600,3835.40,640,5561.70,320,65618.90,40,35274402
19/074,2019-07-02,13,14,15,42,45,48,2,13,,3,3,0,3,0,0,3,1.00,69037880,5.50,814200,92.50,129090,281.00,9600,5579.50,640,7886.50,320,112585.00,40,85374919
19/073,2019-06-29,9,13,22,29,31,46,45,46,29,4,2,1,1,2,1,1,0.00,0,2.00,1686990,100.00,89970,279.00,9600,5804.50,640,7685.00,320,115514.00,40,70723992
19/072,2019-06-27,12,20,33,42,46,47,27,46,,2,4,0,2,0,1,3,0.00,0,2.50,1301800,97.50,89010,230.00,9600,4361.50,640,6777.50,320,85645.30,40,63771451
19/071,2019-06-25,23,25,29,32,40,46,13,29,25,3,3,0,0,3,2,1,0.00,0,1.50,1838800,68.50,107370,268.50,9600,4368.40,640,6744.60,320,82971.30,40,57513294
19/070,2019-06-22,13,29,30,33,43,47,16,33,,5,1,0,1,2,1,2,0.00,0,1.50,1508340,81.00,74480,192.50,9600,4650.00,640,4940.20,320,77312.00,40,48282428
19/069,2019-06-20,9,11,15,21,25,33,46,,,6,0,1,2,2,1,0,0.50,41311520,3.50,737130,153.70,44760,265.00,9600,7352.80,640,7527.00,320,121626.10,40,61897105
19/068,2019-06-18,18,23,26,29,35,48,36,,18,3,3,0,1,3,1,1,0.00,0,4.50,550260,87.50,75460,307.00,9600,5710.00,640,7649.80,320,97816.00,40,57597729
