Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
14/006,2014-01-14,9,11,27,31,33,34,21,,,5,1,1,1,1,3,0,0.00,0,2.00,639720,71.00,48050,195.00,9600,3246.00,640,5111.00,320,60738.00,40,32186606
14/005,2014-01-12,3,16,36,39,42,44,17,"16,39",,2,4,1,1,0,2,2,1.00,34819980,3.00,992990,66.00,121280,162.00,9600,3772.00,640,5460.00,320,75181.00,40,56568555
14/004,2014-01-09,4,15,16,28,39,45,25,16,,3,3,1,2,1,1,1,0.00,0,2.00,1186510,71.00,89760,189.00,9600,3862.00,640,5586.00,320,71154.00,40,48702069
14/003,2014-01-07,9,16,30,31,38,41,46,"16,31",,3,3,1,1,1,2,1,0.00,0,0.00,0,50.00,121610,135.00,9600,3214.00,640,4058.00,320,63473.00,40,44242000
14/002,2014-01-04,6,16,31,32,44,49,43,49,,2,4,1,1,0,2,2,0.00,0,0.00,0,30.00,146000,92.00,9600,1962.00,640,3091.00,320,41642.00,40,31151973
14/001,2014-01-02,1,36,38,43,46,49,21,,,3,3,1,0,0,2,3,1.00,51516650,3.00,1802220,214.00,56270,425.00,9600,11778.00,640,11912.00,320,193849.00,40,104057565
13/152,2013-12-31,7,9,12,40,42,44,14,"9,42",,2,4,2,1,0,1,2,0.00,0,3.00,855010,71.00,96340,184.00,9600,3822.00,640,5626.00,320,79711.00,40,51829303
13/151,2013-12-28,4,9,20,32,42,43,5,4,,2,4,2,1,0,1,2,0.00,0,1.00,2052380,56.00,98610,165.00,9600,2931.00,640,4499.00,320,58922.00,40,41281122
13/150,2013-12-25,4,21,25,45,47,49,6,49,25,5,1,1,0,2,0,3,0.00,0,3.00,757010,40.00,126160,127.00,9600,2549.00,640,4009.00,320,52398.00,40,37210957
13/149,2013-12-22,12,13,18,41,43,49,39,43,,4,2,0,3,0,0,3,3.00,16513930,1.00,2106500,74.00,114630,207.00,9600,4822.00,640,6281.00,320,96987.00,40,63168173
13/148,2013-12-19,4,14,31,39,43,47,27,,,4,2,1,1,0,2,2,0.00,0,2.00,1738000,67.00,103760,218.00,9600,3477.00,640,5149.00,320,68408.00,40,51473920
13/147,2013-12-17,1,8,15,19,20,33,47,15,,4,2,2,3,0,1,0,0.00,0,0.00,0,84.00,63470,157.00,9600,4620.00,640,4927.00,320,85591.00,40,44650817
13/146,2013-12-14,6,14,15,38,46,49,29,,14,2,4,1,2,0,1,2,0.00,0,0.00,0,52.00,89750,126.00,9600,2775.00,640,3903.00,320,52853.00,40,35264384
13/145,2013-12-12,10,19,24,28,31,34,27,,,2,4,1,1,2,2,0,0.00,0,1.00,1355060,88.00,41060,136.00,9600,3453.00,640,3755.00,320,57353.00,40,31367167
13/144,2013-12-10,1,8,17,30,36,46,16,,,2,4,2,1,1,1,1,1.00,90951590,6.00,1265730,222.00,83620,641.00,9600,12275.00,640,19349.00,320,239982.00,40,149624782
13/143,2013-12-07,5,18,24,26,41,44,20,26,,2,4,1,1,2,0,2,0.00,0,4.00,1198960,108.00,118410,297.00,9600,6440.00,640,8954.00,320,130548.00,40,92942714
13/142,2013-12-05,1,16,17,19,26,46,29,"1,17",,3,3,1,3,1,0,1,0.00,0,2.00,2737840,109.00,100470,268.00,9600,6872.00,640,9120.00,320,130593.00,40,83692379
13/141,2013-12-03,1,17,24,29,39,40,21,,,4,2,1,1,2,2,0,0.00,0,3.00,1294770,124.00,69610,238.00,9600,6262.00,640,6996.00,320,114772.00,40,68205230
13/140,2013-11-30,2,15,19,34,42,45,14,34,,3,3,1,2,0,1,2,0.00,0,1.00,2506720,68.00,99030,169.00,9600,3575.00,640,4752.00,320,65539.00,40,48920127
13/139,2013-11-28,3,6,21,33,34,43,9,34,,4,2,2,0,1,2,1,0.00,0,4.00,464190,83.00,52510,414.00,9600,4075.00,640,9694.00,320,72445.00,40,45331946
13/138,2013-11-26,9,10,12,31,34,44,18,,,2,4,2,1,0,2,1,0.00,0,1.00,2013150,84.00,64290,150.00,9600,4331.00,640,5274.00,320,80666.00,40,44206096
13/137,2013-11-23,3,18,20,21,30,41,13,3,,3,3,1,2,2,0,1,0.00,0,2.00,1106170,55.00,81180,149.00,9600,3016.00,640,4064.00,320,53334.00,40,35083788
13/136,2013-11-21,3,6,8,23,25,49,4,49,,4,2,3,0,2,0,1,1.00,15953760,3.00,457270,87.00,42040,271.00,9600,4819.00,640,7430.00,320,82411.00,40,39646555
13/135,2013-11-19,12,27,35,44,47,49,36,,,4,2,0,1,1,1,3,1.00,23676630,6.00,428290,75.00,83750,210.00,9600,3756.00,640,5171.00,320,70725.00,40,48445488
13/134,2013-11-16,1,8,17,32,39,43,48,8,,4,2,2,1,0,2,1,0.00,0,0.00,0,29.00,170740,114.00,9600,2587.00,640,3811.00,320,53021.00,40,36025904
13/133,2013-11-14,3,8,10,25,29,34,32,,,3,3,3,0,2,1,0,0.00,0,0.00,0,70.00,50270,105.00,9600,3860.00,640,3132.00,320,64170.00,40,30822750
13/132,2013-11-12,18,19,21,28,47,49,46,,,4,2,0,2,2,0,2,1.00,47714340,6.00,515390,111.00,74620,298.00,9600,5783.00,640,6920.00,320,105043.00,40,65977260
13/131,2013-11-10,13,31,32,35,39,42,16,42,,4,2,0,1,0,4,1,0.00,0,1.00,2771180,76.00,97230,231.00,9600,4498.00,640,6655.00,320,83474.00,40,57159863
13/130,2013-11-07,4,9,14,26,30,42,21,"4,42",,1,5,2,1,2,0,1,0.00,0,2.00,1563980,76.00,82310,196.00,9600,4676.00,640,5475.00,320,84330.00,40,50343853
13/129,2013-11-05,4,22,25,37,38,42,20,,,2,4,1,0,2,2,1,0.00,0,2.00,1542330,60.00,103330,145.00,9600,3719.00,640,4370.00,320,66939.00,40,45919322
13/128,2013-11-02,8,18,19,29,31,34,36,29,,3,3,1,2,1,2,0,1.00,32290420,1.00,2383700,81.00,78470,170.00,9600,4428.00,640,5253.00,320,81701.00,40,49773403
13/127,2013-10-31,2,9,29,43,46,47,21,47,,4,2,2,0,1,0,3,0.00,0,0.00,0,45.00,136880,143.00,9600,3216.00,640,4389.00,320,66356.00,40,44849354
13/126,2013-10-29,1,20,22,25,34,47,17,47,,3,3,1,1,2,1,1,0.00,0,0.00,0,43.00,125530,147.00,9600,2582.00,640,4277.00,320,52865.00,40,39265357
13/125,2013-10-26,6,15,30,38,47,48,40,,,2,4,1,1,1,1,2,0.00,0,1.00,1502760,32.00,127210,97.00,9600,2061.00,640,2771.00,320,43058.00,40,29376359
13/124,2013-10-24,9,10,22,24,43,44,30,9,24,2,4,2,0,2,0,2,1.00,27369500,3.00,805350,104.00,51870,314.00,9600,4863.00,640,6243.00,320,85312.00,40,48669269
13/123,2013-10-22,5,9,34,36,41,49,26,41,,4,2,2,0,0,2,2,0.00,0,2.00,1123890,70.00,85630,193.00,9600,3591.00,640,5428.00,320,72373.00,40,46750892
13/122,2013-10-19,1,10,31,41,44,47,18,"1,44",,4,2,2,0,0,1,3,0.00,0,1.00,1783160,38.00,126800,108.00,9600,2942.00,640,3276.00,320,50755.00,40,35298297
13/121,2013-10-17,1,11,24,35,44,45,49,,,4,2,1,1,1,1,2,1.00,16689830,1.00,1946250,63.00,83040,178.00,9600,3067.00,640,5150.00,320,57185.00,40,40490457
13/120,2013-10-15,4,20,27,33,41,46,12,,,3,3,1,1,1,1,2,1.00,21702120,1.00,2273070,59.00,103610,161.00,9600,2593.00,640,4393.00,320,54261.00,40,43395498
13/119,2013-10-13,24,28,35,37,42,48,38,,,2,4,0,0,2,2,2,0.00,0,1.00,1966540,73.00,72330,134.00,9600,3182.00,640,4426.00,320,56875.00,40,39667804
13/118,2013-10-10,8,9,11,16,17,38,20,,,3,3,2,3,0,1,0,0.00,0,2.00,726190,89.00,32820,212.00,9600,4758.00,640,5300.00,320,80570.00,40,33284946
13/117,2013-10-08,1,3,6,7,15,27,30,6,,5,1,4,1,1,0,0,4.00,5191970,6.00,229640,239.00,19200,447.00,9600,11373.00,640,9431.00,320,140386.00,40,51385237
13/116,2013-10-05,4,6,9,29,31,36,20,,,3,3,3,0,1,2,0,0.00,0,1.00,1370970,85.00,43260,218.00,9600,5699.00,640,5709.00,320,92189.00,40,39432042
13/115,2013-10-03,14,17,26,32,35,41,15,,,3,3,0,2,1,2,1,1.00,17453470,1.00,2397250,95.00,67640,179.00,9600,4058.00,640,5392.00,320,69694.00,40,48862692
13/114,2013-09-30,1,11,29,40,43,44,4,"40,43",,4,2,1,1,1,1,2,0.00,0,0.00,0,31.00,134660,100.00,9600,1900.00,640,3558.00,320,40254.00,40,30355885
13/113,2013-09-28,33,39,40,43,48,49,34,,,4,2,0,0,0,3,3,1.00,8000000,5.00,326060,104.00,37800,142.00,9600,2981.00,640,3081.00,320,46543.00,40,31237130
13/112,2013-09-26,3,6,7,9,11,28,34,,,4,2,4,1,1,0,0,4.00,16641090,8.00,160900,821.00,19200,624.00,9600,28133.00,640,14519.00,320,315292.00,40,104675185
13/111,2013-09-24,13,25,26,29,30,39,19,"25,39",,4,2,0,1,4,1,0,0.00,0,3.00,1276560,163.00,62960,355.00,9600,7642.00,640,9798.00,320,132123.00,40,82917426
13/110,2013-09-21,22,25,35,36,39,47,31,,,4,2,0,0,2,3,1,0.00,0,3.00,1052320,125.00,67340,290.00,9600,5427.00,640,8343.00,320,99466.00,40,66728177
13/109,2013-09-19,3,15,18,26,45,49,41,45,,4,2,1,2,1,0,2,1.00,83968130,9.00,939920,232.00,91830,522.00,9600,13264.00,640,15524.00,320,256561.00,40,161584207
13/108,2013-09-16,17,22,31,39,45,47,49,"39,47",,5,1,0,1,1,2,2,1.00,12902140,1.00,1634040,55.00,79220,82.00,9600,2128.00,640,3303.00,320,39191.00,40,31008824
13/107,2013-09-14,6,21,29,39,40,47,33,,,4,2,1,0,2,2,1,0.00,0,1.00,1601020,40.00,108080,71.00,9600,2016.00,640,2929.00,320,39356.00,40,30021678
13/106,2013-09-12,1,14,26,28,31,48,36,48,,2,4,1,1,2,1,1,1.00,23254270,2.00,1071900,79.00,72820,223.00,9600,3996.00,640,6020.00,320,77354.00,40,47072568
13/105,2013-09-10,8,12,19,39,48,49,17,,,3,3,1,2,0,1,2,0.00,0,2.00,930200,84.00,59410,214.00,9600,5257.00,640,5079.00,320,83232.00,40,44439814
13/104,2013-09-07,7,10,17,18,28,30,6,"7,28",7,2,4,2,2,2,0,0,0.00,0,7.00,154360,116.00,24830,368.00,9600,4825.00,640,7905.00,320,72534.00,40,36648286
13/103,2013-09-05,1,7,22,28,29,49,37,,,4,2,2,0,3,0,1,0.00,0,2.00,526000,124.00,22710,165.00,9600,4953.00,640,3875.00,320,72758.00,40,30750197
13/102,2013-09-03,21,25,26,33,35,39,17,,,5,1,0,0,3,3,0,1.00,26604050,2.00,1319710,68.00,104270,198.00,9600,3564.00,640,5559.00,320,73345.00,40,52269772
13/101,2013-08-31,3,6,17,18,42,43,36,,,3,3,2,2,0,0,2,0.00,0,5.00,344300,108.00,42500,245.00,9600,4031.00,640,5783.00,320,71602.00,40,41210052
13/100,2013-08-29,24,25,28,35,38,47,16,,,3,3,0,0,3,2,1,0.00,0,1.00,1840390,65.00,76080,151.00,9600,3196.00,640,4080.00,320,57843.00,40,38132822
13/099,2013-08-27,9,14,29,30,32,36,20,14,,2,4,1,1,2,2,0,0.00,0,2.00,756770,65.00,62090,157.00,9600,3359.00,640,4424.00,320,60291.00,40,34390619
13/098,2013-08-24,3,6,10,14,15,20,33,,,2,4,3,3,0,0,0,2.00,4000000,1.00,786020,142.00,19200,157.00,9600,5010.00,640,3667.00,320,70358.00,40,29656629
13/097,2013-08-22,1,16,25,33,41,49,46,,,5,1,1,1,1,1,2,2.00,34624400,3.00,1485700,231.00,51450,322.00,9600,8794.00,640,9000.00,320,144217.00,40,92630564
13/096,2013-08-20,13,14,15,31,46,48,36,"14,31",,3,3,0,3,0,1,2,0.00,0,3.00,1377010,89.00,124470,262.00,9600,5576.00,640,7842.00,320,109983.00,40,80103560
13/095,2013-08-17,9,14,30,31,32,49,1,31,,3,3,1,1,1,2,1,0.00,0,6.00,525830,86.00,89670,308.00,9600,5055.00,640,9048.00,320,96361.00,40,63192570
13/094,2013-08-15,10,16,22,26,31,42,23,"31,42",,1,5,1,1,2,1,1,0.00,0,2.00,1740160,65.00,107080,156.00,9600,4143.00,640,5731.00,320,78905.00,40,52327571
13/093,2013-08-13,1,6,31,41,42,49,44,41,,4,2,2,0,0,1,3,0.00,0,1.00,2318910,74.00,84130,184.00,9600,4545.00,640,5088.00,320,79021.00,40,48985871
13/092,2013-08-10,3,10,20,30,41,44,31,,10,2,4,2,1,1,0,2,0.00,0,0.00,0,79.00,57390,247.00,9600,4536.00,640,5121.00,320,69480.00,40,40870246
13/091,2013-08-08,13,15,23,25,26,29,9,15,,5,1,0,2,4,0,0,0.00,0,3.00,701600,67.00,69810,175.00,9600,3222.00,640,5966.00,320,57104.00,40,38490105
13/090,2013-08-06,4,11,15,19,32,44,42,,,3,3,1,3,0,1,1,0.00,0,2.00,875200,46.00,102580,117.00,9600,2724.00,640,3172.00,320,52872.00,40,34841808
13/089,2013-08-03,5,6,12,23,38,39,48,6,,3,3,2,1,1,2,0,1.00,12093300,2.00,826100,64.00,69380,158.00,9600,3894.00,640,4065.00,320,67095.00,40,37208568
13/088,2013-08-01,6,8,10,19,20,22,42,8,,1,5,3,2,1,0,0,1.00,14273380,2.00,728420,171.00,22710,130.00,9600,7095.00,640,4430.00,320,97217.00,40,40301356
13/087,2013-07-30,8,12,31,33,42,44,49,,,2,4,1,1,0,2,2,0.00,0,3.00,655870,50.00,104930,104.00,9600,3000.00,640,3246.00,320,58605.00,40,38353899
13/086,2013-07-27,1,3,7,22,28,36,21,,,3,3,3,0,2,1,0,1.00,8000000,4.00,212520,143.00,19200,411.00,9600,5568.00,640,7145.00,320,81030.00,40,31218814
13/085,2013-07-25,20,23,27,32,34,49,30,32,,3,3,0,1,2,2,1,1.00,8000000,2.00,1181620,27.00,175050,104.00,9600,1911.00,640,2810.00,320,40907.00,40,32854469
13/084,2013-07-23,6,8,17,22,28,32,20,17,,1,5,2,1,2,1,0,1.00,8000000,0.00,0,82.00,37330,159.00,9600,4451.00,640,4312.00,320,70463.00,40,31445786
13/083,2013-07-21,3,17,20,26,33,47,34,,,4,2,1,2,1,1,1,2.00,40791000,4.00,1469470,215.00,72900,544.00,9600,10947.00,640,14477.00,320,199970.00,40,125779952
13/082,2013-07-18,14,18,28,32,36,46,44,18,18,0,6,0,2,1,2,1,0.00,0,5.00,922810,155.00,71670,318.00,9600,8532.00,640,8657.00,320,140965.00,40,87674813
13/081,2013-07-16,3,18,19,20,37,47,25,18,,4,2,1,3,0,1,1,0.00,0,10.00,473340,137.00,87520,424.00,9600,7189.00,640,10520.00,320,137803.00,40,93496029
13/080,2013-07-13,7,14,18,23,32,46,42,14,,2,4,1,2,1,1,1,1.00,44225450,5.00,675150,109.00,74320,320.00,9600,5181.00,640,7136.00,320,95673.00,40,64362027
13/079,2013-07-11,14,26,28,38,39,45,8,38,,2,4,0,1,2,2,1,1.00,70221750,3.00,1467310,180.00,65210,550.00,9600,8974.00,640,14589.00,320,156834.00,40,100386281
13/078,2013-07-09,1,4,15,38,40,46,49,,,2,4,2,1,0,2,1,0.00,0,7.00,675980,130.00,90470,342.00,9600,6686.00,640,10756.00,320,133265.00,40,89860511
13/077,2013-07-06,6,9,27,29,43,47,17,43,6,5,1,2,0,2,0,2,0.00,0,6.00,528240,174.00,48710,558.00,9600,9008.00,640,13968.00,320,153788.00,40,83263998
13/076,2013-07-02,7,19,28,33,43,45,13,,,5,1,1,1,1,1,2,0.00,0,10.00,185540,111.00,44770,589.00,9600,5520.00,640,12492.00,320,93028.00,40,56478658
13/075,2013-06-29,1,3,4,26,34,37,14,"34,37",,3,3,3,0,1,2,0,0.00,0,1.00,2067770,71.00,77660,250.00,9600,4276.00,640,6644.00,320,80205.00,40,47433065
13/074,2013-06-27,16,34,37,42,47,48,17,,,2,4,0,1,0,2,3,0.00,0,2.00,1484080,58.00,103240,144.00,9600,2917.00,640,4741.00,320,57540.00,40,43289101
13/073,2013-06-25,17,20,29,35,38,40,22,40,,3,3,0,2,1,3,0,0.00,0,1.00,2073320,47.00,118900,127.00,9600,2643.00,640,3904.00,320,50689.00,40,39586013
13/072,2013-06-22,23,25,34,40,42,46,39,46,,2,4,0,0,2,2,2,0.00,0,0.00,0,26.00,173350,64.00,9600,1560.00,640,2179.00,320,32349.00,40,29162709
13/071,2013-06-20,11,14,16,29,31,46,30,31,,3,3,0,3,1,1,1,1.00,8000000,2.00,1052440,43.00,99050,114.00,9600,2123.00,640,2953.00,320,42984.00,40,30884182
13/070,2013-06-18,9,22,23,31,45,47,39,"9,45",,5,1,1,0,2,1,2,1.00,8000000,1.00,1744440,40.00,116290,131.00,9600,2482.00,640,3303.00,320,49175.00,40,34535797
13/069,2013-06-15,9,14,27,29,42,45,44,,,4,2,1,1,2,0,2,1.00,58303910,1.00,3569420,89.00,107550,238.00,9600,5842.00,640,7196.00,320,114155.00,40,72299395
13/068,2013-06-13,3,11,26,32,35,43,1,35,,4,2,1,1,1,2,1,0.00,0,1.00,3394200,105.00,86200,214.00,9600,5746.00,640,7276.00,320,103920.00,40,68671567
13/067,2013-06-11,1,14,21,35,39,40,5,,,4,2,1,1,1,3,0,1.00,74826070,5.00,1321730,174.00,101280,469.00,9600,10537.00,640,14239.00,320,196171.00,40,133452185
13/066,2013-06-09,15,18,22,24,42,44,28,,,1,5,0,2,2,0,2,0.00,0,1.00,1529450,60.00,67970,158.00,9600,2819.00,640,3603.00,320,49138.00,40,32665444
13/065,2013-06-06,10,16,20,28,32,48,30,48,,0,6,1,2,1,1,1,1.00,20831590,3.00,735750,68.00,72660,263.00,9600,3778.00,640,6500.00,320,66879.00,40,42906733
13/064,2013-06-04,9,17,26,36,40,48,2,36,,2,4,1,1,1,2,1,0.00,0,1.00,1981980,64.00,82580,146.00,9600,3069.00,640,4640.00,320,60463.00,40,40341214
13/063,2013-06-01,1,23,27,36,45,49,7,"27,36",1,5,1,1,0,2,1,2,0.00,0,0.00,0,46.00,80140,136.00,9600,2553.00,640,4216.00,320,41765.00,40,29578374
13/062,2013-05-30,15,17,22,27,36,46,23,,,3,3,0,2,2,1,1,1.00,8000000,0.00,0,58.00,67370,98.00,9600,2699.00,640,3106.00,320,47100.00,40,29980083
13/061,2013-05-28,1,4,5,6,9,25,27,25,,4,2,5,0,1,0,0,8.00,1066660,11.00,38400,531.00,19200,531.00,9600,13771.00,640,7907.00,320,110183.00,40,32689258
13/060,2013-05-25,3,8,10,25,26,40,38,,25,2,4,3,0,2,1,0,1.00,25067670,7.00,191360,188.00,19200,489.00,9600,6726.00,640,9057.00,320,98433.00,40,45624115
13/059,2013-05-23,12,24,27,45,47,49,6,12,,4,2,0,1,2,0,3,0.00,0,0.00,0,58.00,95730,139.00,9600,2771.00,640,4429.00,320,54538.00,40,40667482
13/058,2013-05-21,11,12,16,18,23,31,36,,,3,3,0,4,1,1,0,0.00,0,3.00,524470,51.00,82270,144.00,9600,3938.00,640,4299.00,320,67732.00,40,36126326
13/057,2013-05-19,4,14,24,30,43,48,34,48,,1,5,1,1,2,0,2,0.00,0,3.00,332940,45.00,59180,418.00,9600,2124.00,640,5914.00,320,41965.00,40,30110924
13/056,2013-05-16,7,18,27,32,42,48,17,,,2,4,1,1,1,1,2,1.00,18419630,5.00,346770,79.00,53010,312.00,9600,4012.00,640,7337.00,320,67817.00,40,40834305
13/055,2013-05-14,2,11,16,19,44,47,27,"11,16",,3,3,1,3,0,0,2,0.00,0,1.00,1912700,47.00,109680,130.00,9600,2447.00,640,3998.00,320,50514.00,40,37270330
13/054,2013-05-12,1,6,11,16,20,25,22,16,,3,3,2,3,1,0,0,0.00,0,3.00,355740,128.00,22320,213.00,9600,4505.00,640,4791.00,320,66553.00,40,31373459
13/053,2013-05-09,12,14,15,16,22,34,13,14,,1,5,0,4,1,1,0,1.00,55390220,3.00,1236040,128.00,77730,509.00,9600,6938.00,640,9611.00,320,127336.00,40,82698344
13/052,2013-05-07,5,9,14,24,29,37,36,29,,4,2,2,1,2,1,0,0.00,0,4.00,927850,115.00,75300,291.00,9600,6722.00,640,8548.00,320,125621.00,40,71568032
13/051,2013-05-04,1,10,29,40,44,49,33,"1,44",,3,3,2,0,1,1,2,0.00,0,1.00,2317420,89.00,69430,199.00,9600,4627.00,640,5968.00,320,75329.00,40,49577572
13/050,2013-05-02,1,5,28,31,44,46,14,31,,3,3,2,0,1,1,2,0.00,0,2.00,1510100,50.00,120800,146.00,9600,3144.00,640,4169.00,320,63807.00,40,44248131
13/049,2013-04-30,4,18,24,30,31,49,36,4,30,2,4,1,1,2,1,1,1.00,33953210,0.00,0,92.00,76940,215.00,9600,5341.00,640,7382.00,320,98763.00,40,57651884
13/048,2013-04-27,4,7,16,23,26,28,9,,,2,4,2,1,3,0,0,0.00,0,5.00,310250,100.00,37410,434.00,9600,5239.00,640,9784.00,320,87087.00,40,45108692
13/047,2013-04-25,14,15,17,22,38,48,19,,,2,4,0,3,1,1,1,0.00,0,1.00,2049870,70.00,78090,142.00,9600,3499.00,640,4034.00,320,67734.00,40,41887781
13/046,2013-04-23,7,20,23,29,35,41,6,,23,5,1,1,1,2,1,1,0.00,0,3.00,720670,41.00,118620,169.00,9600,3081.00,640,4775.00,320,58695.00,40,38275151
13/045,2013-04-21,9,10,15,33,40,49,48,,,4,2,2,1,0,2,1,0.00,0,0.00,0,43.00,78410,175.00,9600,2976.00,640,4680.00,320,54508.00,40,30593087
13/044,2013-04-18,4,5,14,17,22,39,9,,,3,3,2,2,1,1,0,2.00,8377850,3.00,448400,87.00,41230,314.00,9600,4127.00,640,8299.00,320,72273.00,40,38979850
13/043,2013-04-16,11,15,21,27,38,43,48,,,5,1,0,2,2,1,1,1.00,25440160,1.00,2378700,96.00,66420,184.00,9600,4469.00,640,5041.00,320,80491.00,40,49778420
13/042,2013-04-13,8,16,29,40,46,47,18,29,,2,4,1,1,1,1,2,0.00,0,0.00,0,42.00,125960,104.00,9600,2227.00,640,3330.00,320,46677.00,40,36824931
13/041,2013-04-11,11,18,20,24,29,49,2,,11,3,3,0,3,2,0,1,1.00,20736740,4.00,557930,75.00,69430,180.00,9600,3627.00,640,5862.00,320,70156.00,40,42650352
13/040,2013-04-09,2,3,25,28,35,43,39,,,4,2,2,0,2,1,1,0.00,0,1.00,2030960,47.00,116470,125.00,9600,3294.00,640,4018.00,320,65850.00,40,40937736
13/039,2013-04-06,10,12,16,29,41,48,25,,,2,4,1,2,1,0,2,0.00,0,2.00,797580,31.00,137210,107.00,9600,2298.00,640,3375.00,320,47218.00,40,31763824
13/038,2013-04-04,2,7,11,15,17,27,4,2,,5,1,2,3,1,0,0,1.00,8000000,6.00,133620,128.00,19200,487.00,9600,5147.00,640,8465.00,320,67429.00,40,28770162
13/037,2013-04-02,2,4,9,31,33,46,5,4,2,3,3,3,0,0,2,1,1.00,18096050,3.00,772630,66.00,78040,155.00,9600,3263.00,640,5903.00,320,68242.00,40,41379596
13/036,2013-03-30,4,6,19,25,34,43,17,,,3,3,2,1,1,1,1,0.00,0,3.00,573500,41.00,93250,137.00,9600,2571.00,640,3947.00,320,49524.00,40,30931736
13/035,2013-03-28,12,17,31,38,44,45,43,44,,3,3,0,2,0,2,2,0.00,0,2.00,792370,31.00,138550,86.00,9600,1903.00,640,2423.00,320,37215.00,40,29467109
13/034,2013-03-26,10,15,26,35,40,44,11,,26,2,4,1,1,1,2,1,1.00,42154010,2.00,2700890,137.00,79140,389.00,9600,7523.00,640,11581.00,320,135420.00,40,87678628
13/033,2013-03-23,6,9,17,25,33,42,27,42,,4,2,2,1,1,1,1,0.00,0,2.00,1258450,141.00,35820,255.00,9600,5449.00,640,6761.00,320,85557.00,40,46944592
13/032,2013-03-21,1,4,13,22,39,42,34,,,3,3,2,1,1,1,1,0.00,0,0.00,0,72.00,77350,141.00,9600,3808.00,640,4005.00,320,73609.00,40,43170760
13/031,2013-03-19,3,12,15,28,29,34,8,,,3,3,1,2,2,1,0,0.00,0,2.00,768620,71.00,57730,267.00,9600,3678.00,640,7717.00,320,64101.00,40,39276508
13/030,2013-03-16,6,9,31,41,45,47,18,,,5,1,2,0,0,1,3,0.00,0,1.00,1437050,34.00,114390,115.00,9600,2422.00,640,3649.00,320,44245.00,40,29849974
13/029,2013-03-14,3,4,15,16,17,46,12,"15,17",,3,3,2,3,0,0,1,1.00,20191810,2.00,991640,103.00,51590,220.00,9600,4403.00,640,6119.00,320,73984.00,40,45139708
13/028,2013-03-12,13,15,17,30,38,45,4,,,4,2,0,3,1,1,1,0.00,0,3.00,832250,64.00,86690,153.00,9600,3185.00,640,4172.00,320,60837.00,40,41692046
13/027,2013-03-09,9,18,24,34,40,43,28,"9,24",9,2,4,1,1,1,2,1,0.00,0,3.00,585570,47.00,83060,129.00,9600,2359.00,640,3361.00,320,43380.00,40,30148619
13/026,2013-03-07,8,9,24,35,39,41,2,"8,35",,4,2,2,0,1,2,1,2.00,31493020,2.00,1647860,100.00,88320,303.00,9600,5520.00,640,8957.00,320,109862.00,40,70085613
13/025,2013-03-05,4,6,8,35,36,43,5,"8,35",,2,4,3,0,0,2,1,0.00,0,5.00,550410,101.00,65390,354.00,9600,5292.00,640,10166.00,320,100441.00,40,59619108
13/024,2013-03-03,7,8,26,31,35,39,37,26,,4,2,2,0,1,3,0,0.00,0,1.00,2616000,75.00,93630,217.00,9600,4401.00,640,6377.00,320,86038.00,40,54715967
13/023,2013-02-28,10,11,23,26,28,30,17,,28,2,4,1,1,4,0,0,0.00,0,0.00,0,117.00,39800,261.00,9600,5611.00,640,7016.00,320,90176.00,40,45702260
13/022,2013-02-26,1,4,15,16,18,36,21,36,,2,4,2,3,0,1,0,0.00,0,1.00,1884760,85.00,59120,178.00,9600,4495.00,640,4959.00,320,76499.00,40,42655454
13/021,2013-02-23,12,19,23,30,35,36,15,,23,3,3,0,2,2,2,0,0.00,0,0.00,0,49.00,79670,118.00,9600,2986.00,640,3491.00,320,50148.00,40,31282363
13/020,2013-02-21,11,14,21,22,32,49,7,32,21,3,3,0,2,2,1,1,1.00,8000000,4.00,378980,41.00,86270,263.00,9600,2815.00,640,6920.00,320,52178.00,40,33967032
13/019,2013-02-19,5,18,19,32,40,44,34,,19,2,4,1,2,0,2,1,1.00,15530600,3.00,902120,63.00,96220,147.00,9600,3295.00,640,4437.00,320,62743.00,40,44382179
13/018,2013-02-16,3,12,30,35,37,38,18,,,3,3,1,1,1,3,0,0.00,0,1.00,1529360,44.00,92680,131.00,9600,2395.00,640,4015.00,320,48684.00,40,31900166
13/017,2013-02-14,11,16,24,27,36,48,47,,,2,4,0,2,2,1,1,2.00,28442570,6.00,1144550,239.00,70230,459.00,9600,11687.00,640,13582.00,320,212247.00,40,131175195
13/016,2013-02-09,4,8,10,35,46,47,32,8,,2,4,3,0,0,1,2,0.00,0,0.00,0,48.00,94450,99.00,9600,2496.00,640,3025.00,320,50042.00,40,33033204
13/015,2013-02-07,3,8,12,18,22,33,37,,,2,4,2,2,1,1,0,1.00,10304580,5.00,163950,247.00,19200,260.00,9600,8424.00,640,5389.00,320,107516.00,40,40760830
13/014,2013-02-05,5,19,31,32,34,45,13,,5,4,2,1,1,0,3,1,1.00,15690440,1.00,2031810,59.00,91830,162.00,9600,2878.00,640,4805.00,320,57536.00,40,40955886
